fips,Ridge_Preds,ENet_Preds,RF_Preds,XGB_Preds,Preds_Combined,Poor_Ridge_RPR20,Poor_ENet_RPR20,Poor_RF_RPR20,Poor_XGB_RPR20,Poor_Combined_RPR20,Poor_Ensemble_RPR20,Poor_Ridge_RPR15,Poor_ENet_RPR15,Poor_RF_RPR15,Poor_XGB_RPR15,Poor_Combined_RPR15,Poor_Ridge_RPR10,Poor_ENet_RPR10,Poor_RF_RPR10,Poor_XGB_RPR10,Poor_Combined_RPR10,Poor_Ridge_RPR05,Poor_ENet_RPR05,Poor_RF_RPR05,Poor_XGB_RPR05,Poor_Combined_RPR05,Poor_Ensemble_RPR15,Poor_Ensemble_RPR10,Poor_Ensemble_RPR05,mFIPS,district,locality,ed,population,objectid
10100101,6.631226754,6.766170536,6.759437681,6.571387543,6.682055629,0.32,0.24,0.128,0.4,0.288,0.272,0.216,0.144,0.008,0.304,0.208,0.096,0.064,0,0.24,0.072,0.04,0.016,0,0.128,0.008,0.168,0.1,0.046,1100101,1,1,101,486,712
10100102,6.719614435,6.871387152,6.767111851,6.728085618,6.771549764,0.261437908,0.156862745,0.196078431,0.300653595,0.235294118,0.22875817,0.130718954,0.052287582,0.071895425,0.130718954,0.08496732,0.026143791,0.006535948,0.006535948,0.039215686,0.006535948,0,0,0,0,0,0.096405229,0.019607843,0,1100102,1,1,102,551,701
10100103,6.940455783,6.797419221,6.871823274,6.783098251,6.848199133,0.064102564,0.173076923,0.006410256,0.192307692,0.076923077,0.108974359,0.019230769,0.038461538,0,0.115384615,0.025641026,0,0.012820513,0,0.025641026,0,0,0,0,0,0,0.043269231,0.009615385,0,1100103,1,1,103,552,703
10100104,6.767965761,6.808968104,6.760622197,6.726062746,6.765904702,0.181818182,0.181818182,0.03030303,0.262626263,0.181818182,0.164141414,0.111111111,0.111111111,0,0.151515152,0.070707071,0.050505051,0.03030303,0,0.050505051,0.03030303,0.03030303,0.01010101,0,0.01010101,0,0.093434343,0.032828283,0.012626263,1100104,1,1,104,360,710
10100105,6.383676646,6.415526239,6.438675065,6.412090695,6.412492161,0.6,0.59375,0.6125,0.6125,0.6125,0.6046875,0.39375,0.375,0.225,0.3875,0.325,0.16875,0.1375,0.00625,0.19375,0.1375,0.05,0.04375,0,0.03125,0.01875,0.3453125,0.1265625,0.03125,1100105,1,1,105,635,720
10100601,6.817814821,6.845672085,6.945781836,6.709072045,6.829585197,0.197802198,0.175824176,0.054945055,0.318681319,0.164835165,0.186813187,0.131868132,0.10989011,0,0.208791209,0.10989011,0.065934066,0.043956044,0,0.120879121,0.043956044,0,0,0,0.054945055,0,0.112637363,0.057692308,0.013736264,1100601,1,1,601,342,708
10100602,6.619941812,6.657812925,6.816795022,6.770264089,6.716203462,0.339285714,0.294642857,0.098214286,0.196428571,0.196428571,0.232142857,0.160714286,0.125,0.026785714,0.133928571,0.089285714,0.071428571,0.053571429,0,0.080357143,0.0625,0.044642857,0.035714286,0,0.035714286,0.017857143,0.111607143,0.051339286,0.029017857,1100602,1,1,602,341,706
10100603,6.688907459,6.740138875,6.752579586,6.671419857,6.713261444,0.336283186,0.283185841,0.14159292,0.336283186,0.283185841,0.274336283,0.159292035,0.10619469,0.026548673,0.194690265,0.132743363,0.053097345,0.026548673,0,0.061946903,0.026548673,0.008849558,0,0,0,0,0.121681416,0.03539823,0.002212389,1100603,1,1,603,407,718
10101101,6.570425576,6.707917834,6.826833649,6.723198842,6.707093975,0.416666667,0.333333333,0.092592593,0.305555556,0.296296296,0.287037037,0.287037037,0.138888889,0.018518519,0.222222222,0.166666667,0.092592593,0.046296296,0,0.083333333,0.046296296,0.027777778,0,0,0.037037037,0.018518519,0.166666667,0.055555556,0.016203704,1101101,1,1,1101,378,709
10101104,6.475381912,6.541974014,6.668342204,6.626349238,6.578011842,0.495652174,0.417391304,0.252173913,0.339130435,0.391304348,0.376086957,0.295652174,0.226086957,0.017391304,0.173913043,0.182608696,0.130434783,0.086956522,0,0.07826087,0.052173913,0.026086957,0.017391304,0,0.043478261,0.017391304,0.17826087,0.073913043,0.02173913,1101104,1,1,1104,471,707
