Lat,Long,Name,District,Type,Address
17.50504513,-88.19966094,Scotiabank,Belize,Branch,"2-1/2 Miles Northern Highway, Belize City, Belize"
17.49339455,-88.18691754,Scotiabank,Belize,Branch,"4A Albert St., Belize City, Belize"
17.24620018,-88.77516763,Scotiabank,Cayo,Branch,"1915 Constitution Dr., Belmopan, Belize"
18.39091795,-88.38571337,Scotiabank,Corozal,Branch,"14th Ave., Corozal, Belize"
16.96804983,-88.22090186,Scotiabank,Stann Creek,Branch,"10 St. Vincent St., Dangriga, Belize"
18.08018816,-88.55899632,Scotiabank,Orange Walk,Branch,"Park/Main Street, Orange Walk, Belize"
16.10007111,-88.80345307,Scotiabank,Toledo,Branch,"Cor Prince & Main Streets, Punta Gorda, Belize"
17.15242211,-89.07942189,Scotiabank,Cayo,Branch,"Burns Ave./Riverside St., San Ignacio, Belize"
17.92546293,-87.94953596,Scotiabank,Belize,Branch,"12 Coconut Dr., San Pedro, Belize"
17.16512837,-89.05705685,Scotiabank,Cayo,Branch,"Center Rd., San Ignacio, Belize"
17.51123716,-88.19337904,Scotiabank,Belize,ATM,St Thomas St
17.50668013,-88.19586291,Heritage Bank,Belize,Branch,"106 Princess Margaret Drive, Belize City"
17.4941923,-881874466,Heritage Bank,Belize,Branch,"21 Albert Street, Belize City"
17.54659955,-88.28920239,Heritage Bank,Belize,Branch,"Ladyville Industrial Estate, Ladyville"
17.9195398,-87.9617656,Heritage Bank,Belize,Branch," 33 Barrier Reef Drive, San Pedro Town"
16.53685739,-88.41777564,Heritage Bank,Stann Creek,Branch,"249 Fadden Avenue, Independence"
16.96716764,-88.22528656,Heritage Bank,Stann Creek,Branch,"Ecumenical Drive/Castillo Road, Dangriga Town"
18.07949702,-88.56485152,Heritage Bank,Orange Walk,Branch,"42 San Antonio Road, Orange Walk "
17.25088015,-88.7739404,Heritage Bank,Cayo,Branch,"Market Square, Belmopan"
17.15941783,-89.06922516,Heritage Bank,Cayo,Branch,"Savannah St. (Manzanero Bldg.), San Ignacio Town"
17.07664571,-89.13789946,Heritage Bank,Cayo,Branch,"Cor. Churchill / Victoria St., Benque Viejo"
17.16777145,-89.0509481,Heritage Bank,Cayo,Branch,"241 Red Creek, Santa Elena Town"
17.23558832,-89.00285126,Heritage Bank,Cayo,Branch,"Center Road, Spanish Lookout"
17.4995263,-88.18477008,Heritage Bank,Belize,ATM,"Provident Center, 43 Barrack Road, Belize City"
17.49505956,-88.1955185,Heritage Bank,Belize,ATM,"Cemetery Road, Belize City"
17.4993959,-88.18581527,Heritage Bank,Belize,ATM,"Freetown Road, Belize City"
17.4985662,-88.21911546,Heritage Bank,Belize,ATM,"Fabers Road, Belize City"
17.50747915,-88.18898615,Heritage Bank,Belize,ATM,Newtown Barracks
17.49875869,-88.19394824,Heritage Bank,Belize,ATM,517 Vernon Street
17.55511845,-88.308694,Heritage Bank,Belize,ATM,"Lord’s Bank Cut-off, Ladyville"
17.50509241,-88.19998213,Heritage Bank,Belize,ATM,"8 1/2 Miles Phillip Goldson Highway, Ladyville"
17.92075296,-87.96176657,Heritage Bank,Belize,ATM,Corner of Pescador Drive & Laguna Drive
17.91044333,-87.97260906,Heritage Bank,Belize,ATM,Corner of Sea Grape & Coconut Drive
17.95733233,-87.93707657,Heritage Bank,Belize,ATM,Captain Morgan Resort
17.74579023,-88.02355667,Heritage Bank,Belize,ATM,Corner of Calle Aguado and Playa Asuncion
18.07554732,-88.56291721,Heritage Bank,Corozal,ATM,88 Belize Corozal Road
18.07949072,-88.56480201,Heritage Bank,Orange Walk,ATM,"42 San Antonio Road, Orange Walk Town"
17.25493199,-88.76484326,Heritage Bank,Cayo,ATM,Emporium Building
17.25994533,-88.79205163,Heritage Bank,Cayo,ATM,Puma Roaring Creek (Garbutt's Service Station)
17.15904231,-89.06852728,Heritage Bank,Cayo,ATM,"Bullet Tree, San Ignacio"
16.1017704,-88.80495615,Heritage Bank,Toledo,ATM,Queen Street
16.97041941,-88.22263969,Heritage Bank,Stann Creek,ATM,Commerce Street
16.95096421,-88.41662383,Heritage Bank,Stann Creek,ATM,14 _ Miles Stann Creek Valley Road
18.39342205,-88.38427557,Atlantic Bank Limited,Corozal,Branch,Cor. 4th Avenue/3rd Street North
18.48340625,-88.39393202,Atlantic Bank Limited,Corozal,Branch,"Freedom Avenue, Corozal Free Zone"
18.08119156,-88.55931182,Atlantic Bank Limited,Orange Walk,Branch,"47 Main Street, Orange Walk Town"
17.49049328,-88.18787047,Atlantic Bank Limited,Belize,Branch,"Albert Street, Belize City"
17.50405226,-88.19493838,Atlantic Bank Limited,Belize,Branch,"Cor. Cleghorn Street/Freetown Road, Belize City"
17.4950734,-88.194208,Atlantic Bank Limited,Belize,Branch,"Cor. Cemetry Road/Magazine Road, Belize City "
17.55005839,-88.30128399,Atlantic Bank Limited,Belize,Branch,"9 Miles Philip Goldson Hwy/Marage Rd, Ladyville"
17.51447519,-88.21956587,Atlantic Bank Limited,Belize,ATM,"2 1/2 Miles Philip GoldsonHwy, Belize City"
17.53836498,-88.30801111,Atlantic Bank Limited,Belize,Branch,Philip Golson International Airport
