fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
10100101,NA,1100101,1,01,101,403,712
10100102,NA,1100102,1,01,102,490,701
10100103,NA,1100103,1,01,103,511,703
10100104,NA,1100104,1,01,104,340,710
10100105,NA,1100105,1,01,105,575,720
10100601,NA,1100601,1,01,601,308,708
10100602,NA,1100602,1,01,602,264,706
10100603,NA,1100603,1,01,603,247,718
10101101,NA,1101101,1,01,1101,309,709
10101104,NA,1101104,1,01,1104,379,707
10101105,NA,1101105,1,01,1105,115,711
10101603,NA,1101603,1,01,1603,328,705
10102104,NA,1102104,1,01,2104,275,717
10102105,NA,1102105,1,01,2105,496,721
10103104,NA,1103104,1,01,3104,474,704
10103105,NA,1103105,1,01,3105,371,723
10104104,NA,1104104,1,01,4104,549,716
10104105,NA,1104105,1,01,4105,388,713
10105104,NA,1105104,1,01,5104,427,702
10105105,NA,1105105,1,01,5105,462,722
10106104,NA,1106104,1,01,6104,179,715
10106105,NA,1106105,1,01,6105,365,719
10107105,NA,1107105,1,01,7105,258,714
11200201,NA,1200201,1,12,201,446,661
11200202,NA,1200202,1,12,202,500,666
11200203,NA,1200203,1,12,203,357,696
11200204,NA,1200204,1,12,204,318,679
11200205,NA,1200205,1,12,205,582,659
11200206,NA,1200206,1,12,206,298,691
11200207,NA,1200207,1,12,207,349,642
11200208,NA,1200208,1,12,208,260,643
11200209,NA,1200209,1,12,209,262,650
11200210,NA,1200210,1,12,210,5,700
11200211,NA,1200211,1,12,211,699,665
11200212,NA,1200212,1,12,212,696,673
11200213,NA,1200213,1,12,213,21,664
11200253,NA,1200253,1,12,253,419,655
11200255,NA,1200255,1,12,255,253,685
11200258,NA,1200258,1,12,258,417,689
11200704,NA,1200704,1,12,704,457,645
11200705,NA,1200705,1,12,705,324,656
11200706,NA,1200706,1,12,706,547,688
11200745,NA,1200745,1,12,745,506,641
11201201,NA,1201201,1,12,1201,468,697
11201203,NA,1201203,1,12,1203,338,663
11201204,NA,1201204,1,12,1204,456,653
11201205,NA,1201205,1,12,1205,656,683
11201206,NA,1201206,1,12,1206,534,658
11201207,NA,1201207,1,12,1207,389,690
11201209,NA,1201209,1,12,1209,993,669
11201211,NA,1201211,1,12,1211,817,678
11201212,NA,1201212,1,12,1212,237,651
11201253,NA,1201253,1,12,1253,505,644
11201255,NA,1201255,1,12,1255,270,662
11201258,NA,1201258,1,12,1258,646,660
11201704,NA,1201704,1,12,1704,807,667
11201705,NA,1201705,1,12,1705,717,646
11201706,NA,1201706,1,12,1706,484,647
11201754,NA,1201754,1,12,1754,429,686
11202203,NA,1202203,1,12,2203,435,695
11202204,NA,1202204,1,12,2204,507,681
11202206,NA,1202206,1,12,2206,486,668
11202207,NA,1202207,1,12,2207,460,657
11202209,NA,1202209,1,12,2209,786,670
11202211,NA,1202211,1,12,2211,159,677
11202212,NA,1202212,1,12,2212,755,672
11202253,NA,1202253,1,12,2253,412,692
11202255,NA,1202255,1,12,2255,274,684
11202258,NA,1202258,1,12,2258,252,671
11202705,NA,1202705,1,12,2705,488,682
11202706,NA,1202706,1,12,2706,544,648
11202754,NA,1202754,1,12,2754,440,652
11203201,NA,1203201,1,12,3201,646,654
11203204,NA,1203204,1,12,3204,494,680
11203206,NA,1203206,1,12,3206,692,694
11203209,NA,1203209,1,12,3209,319,676
11203706,NA,1203706,1,12,3706,353,687
11204201,NA,1204201,1,12,4201,37,698
11204204,NA,1204204,1,12,4204,513,649
11204206,NA,1204206,1,12,4206,258,693
11204209,NA,1204209,1,12,4209,859,674
11205201,NA,1205201,1,12,5201,465,699
11205209,NA,1205209,1,12,5209,458,675
20200101,NA,2100101,2,02,101,198,613
20200102,NA,2100102,2,02,102,255,610
20200103,NA,2100103,2,02,103,255,619
20200104,NA,2100104,2,02,104,540,621
20200151,NA,2100151,2,02,151,422,622
20200152,NA,2100152,2,02,152,188,611
20200601,NA,2100601,2,02,601,74,629
20200602,NA,2100602,2,02,602,408,623
20200651,NA,2100651,2,02,651,358,616
20200652,NA,2100652,2,02,652,525,640
20200653,NA,2100653,2,02,653,388,618
20201101,NA,2101101,2,02,1101,372,614
20201103,NA,2101103,2,02,1103,257,620
20201104,NA,2101104,2,02,1104,238,628
20201256,NA,2101256,2,02,1256,512,617
20201601,NA,2101601,2,02,1601,168,612
20201602,NA,2101602,2,02,1602,363,615
20201652,NA,2101652,2,02,1652,383,626
20201653,NA,2101653,2,02,1653,481,632
20202103,NA,2102103,2,02,2103,652,630
20202104,NA,2102104,2,02,2104,328,633
20202602,NA,2102602,2,02,2602,186,638
20202652,NA,2102652,2,02,2652,461,627
20203103,NA,2103103,2,02,3103,379,631
20203104,NA,2103104,2,02,3104,374,634
20203652,NA,2103652,2,02,3652,553,624
20204652,NA,2104652,2,02,4652,384,637
20205652,NA,2105652,2,02,5652,418,636
20206652,NA,2106652,2,02,6652,286,639
20207652,NA,2107652,2,02,7652,443,625
20208652,NA,2108652,2,02,8652,469,635
21200201,NA,2200201,2,12,201,430,587
21200202,NA,2200202,2,12,202,562,573
21200203,NA,2200203,2,12,203,496,557
21200204,NA,2200204,2,12,204,498,569
21200205,NA,2200205,2,12,205,773,563
21200206,NA,2200206,2,12,206,320,547
21200207,NA,2200207,2,12,207,316,565
21200208,NA,2200208,2,12,208,278,549
21200209,NA,2200209,2,12,209,657,546
21200211,NA,2200211,2,12,211,1250,570
21200212,NA,2200212,2,12,212,4,608
21200213,NA,2200213,2,12,213,711,562
21200256,NA,2200256,2,12,256,470,572
21200307,NA,2200307,2,12,307,397,548
21200701,NA,2200701,2,12,701,554,560
21200708,NA,2200708,2,12,708,1237,599
21200710,NA,2200710,2,12,710,584,551
21200908,NA,2200908,2,12,908,570,550
21201201,NA,2201201,2,12,1201,211,553
21201204,NA,2201204,2,12,1204,549,552
21201205,NA,2201205,2,12,1205,302,564
21201206,NA,2201206,2,12,1206,532,578
21201207,NA,2201207,2,12,1207,517,566
21201208,NA,2201208,2,12,1208,237,606
21201211,NA,2201211,2,12,1211,138,545
21201213,NA,2201213,2,12,1213,853,568
21201256,NA,2201256,2,12,1256,325,559
21201701,NA,2201701,2,12,1701,405,593
21201708,NA,2201708,2,12,1708,264,574
21201710,NA,2201710,2,12,1710,467,567
21202201,NA,2202201,2,12,2201,285,589
21202204,NA,2202204,2,12,2204,701,561
21202205,NA,2202205,2,12,2205,404,575
21202206,NA,2202206,2,12,2206,630,577
21202207,NA,2202207,2,12,2207,57,592
21202208,NA,2202208,2,12,2208,644,581
21202213,NA,2202213,2,12,2213,817,555
21202256,NA,2202256,2,12,2256,384,556
21202701,NA,2202701,2,12,2701,553,554
21202708,NA,2202708,2,12,2708,447,598
21202710,NA,2202710,2,12,2710,295,544
21203201,NA,2203201,2,12,3201,196,588
21203204,NA,2203204,2,12,3204,525,602
21203205,NA,2203205,2,12,3205,484,576
21203207,NA,2203207,2,12,3207,263,591
21203213,NA,2203213,2,12,3213,304,605
21203256,NA,2203256,2,12,3256,469,583
21203710,NA,2203710,2,12,3710,336,595
21204201,NA,2204201,2,12,4201,7,558
21204204,NA,2204204,2,12,4204,404,603
21204206,NA,2204206,2,12,4206,505,580
21204213,NA,2204213,2,12,4213,544,604
21204256,NA,2204256,2,12,4256,424,582
21204710,NA,2204710,2,12,4710,272,594
21205201,NA,2205201,2,12,5201,470,590
21205204,NA,2205204,2,12,5204,237,600
21205206,NA,2205206,2,12,5206,280,579
21205256,NA,2205256,2,12,5256,322,571
21205710,NA,2205710,2,12,5710,369,596
21206204,NA,2206204,2,12,6204,172,601
21206256,NA,2206256,2,12,6256,364,585
21206710,NA,2206710,2,12,6710,482,597
21207256,NA,2207256,2,12,7256,495,584
21208256,NA,2208256,2,12,8256,544,586
30300201,NA,3100201,3,03,201,47,425
